sequence,candidate_id,headline,event_bucket,announcement_key,primary_source,supporting_sources,confidence
75,S004,HUMAIN and Applied Intuition to Deploy National Autonomous Trucking Network,DeepFest 2026,HUMAIN + Applied Intuition to deploy national autonomous trucking network,https://www.prnewswire.com/ae/news-releases/humain-and-applied-intuition-announce-strategic-collaboration-to-deploy-physical-ai-across-saudi-arabia-starting-with-autonomous-trucking-302865099.html,https://en.sharikatmubasher.com/media-hub/news/21571626/humain-applied-intuition-to-deploy-autonomous-trucks-across-saudi-arabia?lang=en,95
76,S006,HP Launches Garage 2.0 AI Startup Incubator at LEAP 2026,LEAP 2026,HP launches Garage 2.0 AI startup incubator; Dhahran CoE progress,https://www.middleeastainews.com/p/hp-brings-garage-20-ai-startup-incubator,https://almashhadnewspaper.com/?p=535,95
77,S012,BIOSTAR Launches EdgeComp Jetson Thor Systems at DeepFest 2026,DeepFest 2026,BIOSTAR EdgeComp MS-NAT4000 (Jetson Thor) industrial edge AI systems,https://www.biostar.com.tw/app/en/news/news.php?S_ID=698,https://windowsforum.com/windows-news.4/biostar-edgecomp-brings-jetson-thor-systems-to-deepfest-2026.441967/,95
78,S014,Cloudera Unveils Anywhere Cloud with Zero-Trust Governance at LEAP 2026,DeepFest 2026,"Cloudera Anywhere Cloud (zero-trust, sovereign data, multi-cloud AI)",https://channelpostmea.com/2026/08/21/cloudera-to-present-newly-launched-anywhere-cloud-at-leap-2026/,,95
79,S018,AI Geo Navigators Unveils MIRSAD Hazard Platform at LEAP 2026,Both,AI Geo Navigators: MIRSAD Saudi hazard/climate screening (LEAP x DeepFest),https://aigeo360.com/ai-geo-navigators-leap-deepfest-2026/,,95
80,S019,Astrik to Showcase Classpedia and AI Enterprise Ecosystem at LEAP 2026,LEAP 2026,"Astrik to showcase Classpedia, Synclo, Chattrik (enterprise AI ecosystem)",https://www.astrik.com/press-release/astrik-to-showcase-its-ai-powered-enterprise-technology-ecosystem-at-leap-2026,,95
81,S022,HP's Riyadh Facility Begins Commercial Production of Tech Products,LEAP 2026,HP Riyadh facility enters ongoing commercial production,https://almojazaleqtisadi.com/?p=1050,https://samaworld.com/2026/08/30/hp-delivers-measurable-progress-in-saudi-arabia-across-ai-innovation-local-manufacturing-and-future-skills/,95
82,S024,NC AI Unveils Full-Stack Physical AI at LEAP 2026 for Middle East Expansion,LEAP 2026,"NC AI brings ‘Full-Stack Physical AI’ (twins, world models, robot FMs)",https://en.edaily.co.kr/news/eda202608315303/,,95
83,S029,WeRide Showcases Robotaxi GXR and Robobus at LEAP 2026,LEAP 2026,"WeRide shows Robotaxi GXR, Robobus, Robosweeper S1 + keynote",https://www.linkedin.com/posts/werideai_leap2026-riyadh-robotaxi-activity-7498575545723404288-yKJS,https://www.instagram.com/p/DchwNrxlBhH/,100
84,S030,Usetech to Present Operational Technology Portfolio at LEAP 2026,LEAP 2026,"Usetech operational tech portfolio (Launch, Octopus, Smart City/Manufacturing)",https://menawirenow.com/2026/08/usetech-to-showcase-its-operational-technology-portfolio-at-leap-2026-in-riyadh/,,95
85,B043,HUMAIN Unveils Agentic AI PC Built With Qualcomm at LEAP,LEAP 2026,"HUMAIN unveils Horizon Ultra AI PC (Snapdragon X2 Elite); Windows now, HUMAIN OS 2027",https://www.prnewswire.com/news-releases/microsoft-and-humain-expand-strategic-collaboration-at-leap-2026-with-new-enterprise-ai-offering-and-ai-pc-302865157.html,https://www.agbi.com/tech/2026/08/saudi-arabias-humain-and-qualcomm-unveil-ai-laptop/ | https://bridgemena.com/news/humain-prepares-to-unveil-ai-powered-pc-at-leap-2026,95
86,B048,WE Solutions and Movandi Partner on Saudi Advanced Wireless Deployment,LEAP 2026,WE Solutions + Movandi MoU to accelerate advanced wireless in KSA,https://www.businesswire.com/news/home/20260831813478/en/WE-Solutions-and-Movandi-Announce-Strategic-Partnership-to-Accelerate-Advanced-Wireless-Deployment-in-Saudi-Arabia,,95
87,R026,Pakistan Tech Firms Target Saudi Expansion at LEAP 2026,LEAP 2026,"Pakistan tech firms seek deeper Saudi foothold (pavilion, KAACIB Riyadh office)",https://www.arabnews.com/node/2656296/pakistan,https://www.arabnews.com/node/2656393/pakistan,95
88,R064,Blossom Accelerator Named Official LEAP 2026 Soft-Landing Partner for Startups,LEAP 2026,Blossom Accelerator named official LEAP soft-landing partner,https://blossom.sa/founders-startups/soft-landing/,https://www.instagram.com/p/DUvTvHWAprz/ | https://x.com/BlossomAccel/status/2087573769841775006 | https://onegiantleap.com/session/blossom-accelerator-partner-session-saudi-soft-landing-setting-market-entry-and-contracting,95
89,R077,Builders Tribe and P@SHA Lead Founder Delegations to LEAP 2026,LEAP 2026,Builders Tribe + P@SHA lead founder delegations (Africa/GCC + Pakistan),https://www.tribetechie.com/blog/leap-2026-founder-delegation,https://www.pasha.org.pk/global-events/leap-2026/ | https://www.linkedin.com/posts/builderstribe_leap2026-builderstribe-startups-activity-7485559312128405504-LspU,95
90,R087,QuikBot and EFGH Partner to Embed Real-Time Insurance into Physical AI,LEAP 2026,QuikBot + EFGH embed real-time insurance for autonomous systems,https://efgh.xyz/newsroom/press-releases/efgh-and-quikbot-launch-real-time-insurance-for-autonomous-systems,https://finance.yahoo.com/technology/ai/articles/quikbot-vs-serve-robotics-nasdaq-183745322.html | https://quikbot.ai/about/,95
91,S020,Velaura AI Secures $110M Series A at $1B+ Valuation for Energy-Efficient AI Computing,DeepFest 2026,Velaura AI raises $110M Series A ($1B+ val) for energy‑efficient AI compute,https://arabfounders.net/en/velaura-ai-raises-110m-series-a-billion-dollar-valuation/,,95
92,R093,LEAP 2026 Names Gulf Car and Makani as Official Transportation and Internal Shuttle Providers,LEAP 2026,LEAP 2026 mobility ops: Gulf Car (transport) + Makani (internal shuttles),https://www.linkedin.com/posts/leapandinnovate_leap26-gulfcar-transportationpartner-activity-7498063151905677312-p0Ab,https://www.facebook.com/LEAPandInnovate/posts/getting-to-and-around-leap-has-never-been-easierwere-proud-to-have-gulf-car-as-o/1424741993130981/ | https://www.swvl.com/leap | https://www.linkedin.com/posts/leapandinnovate_leap26-makani-internalshuttle-activity-7498275286958915584-8_vn,95
93,S011,LIVE4WELL Showcases AI-Driven Preventive Health Platform at LEAP 2026,LEAP 2026,"LIVE4WELL demos AI preventive health (30s retinal, 90s stress indices)",https://www.zawya.com/en/press-release/asia-press-releases/digital-entertainment-leadership-forum-2026-opens-tomorrow-469643,,95
94,S017,LEAP 2026 Debuts GameX Creative with Roblox and ESL FACEIT Experiences,LEAP 2026,GameX Creative debuts with Roblox ‘LEAP Into New Worlds’ + ESL FACEIT racing,https://www.intelligentcio.com/me/2026/08/31/leap-2026-opens-today-in-riyadh/,https://www.tradearabia.com/News/467155/Global-technology-community-gathers-in-Riyadh-as-LEAP-2026-opens | https://medal.tv/games/roblox/experiences/1b8JjCAWWloic1/leap-into-new-worlds,90
95,R086,Saudi Proptech Ghanem Secures $7.1M to Expand Fractional Real Estate Platform,LEAP 2026,Ghanem raises $7.1M to scale fractional real estate platform (REGA sandbox),https://thestartupscene.me/INVESTMENTS/Saudi-Proptech-Ghanem-Raises-7-1M-From-Al-Romaih-Group,https://fintech.global/2025/11/17/ghanem-secures-7-1m-for-new-fractional-ownership-tools/ | https://en.incarabia.com/ksabased-ghanem-pockets-us71-million-from-alromaih-group-802325.html,95
96,B049,Profit.co Spotlights AI-Powered Performance Management Platform at LEAP 2026,LEAP 2026,Profit.co showcases AI-powered continuous performance management,https://www.pressrelease.com/news/profit-co-spotlights-ai-powered-performance-management-at-leap-2026-in-22854668,,95
97,B041,Saudi Digital Exhibition to Launch 20 Digital Products at LEAP 2026,LEAP 2026,DGA’s Saudi Digital Exhibition: 20+ gov product launches; 30+ MoUs,https://www.spa.gov.sa/en/N2661497,,95
98,R099,Saudia Secures Airbus Fleet Financing MoU at LEAP 2026,LEAP 2026,Saudia Group–Saudi EXIM–Crédit Agricole CIB MoU for Airbus fleet financing,https://www.tradearabia.com/News/466932/Saudia-Group-signs-MoU-to-explore-financing-for-Airbus-fleet-expansion,https://www.saudiarabiabreakingnews.com/post/saudia-saudi-exim-and-cr%C3%A9dit-agricole-cib-sign-mou-on-airbus-financing,95
99,R078,LEAP 2026 Rescheduled to August Amid Regional Conflict,Both,LEAP/DeepFest 2026 rescheduled to Aug 31–Sep 3 (regional conflict impact),https://vision2030.ai/analysis/leap-2026-postponed/,https://www.arabnews.com/node/2636900/business-economy,95
100,M001,Saudi Human Resources Ministry Brings New Digital Services to LEAP 2026,LEAP 2026,Saudi Ministry of Human Resources launches digital beneficiary services and service-development MoUs at LEAP 2026,https://www.alarabiya.net/aswaq/saudi-economy/2026/08/31/%D8%A7%D9%84%D9%85%D9%88%D8%A7%D8%B1%D8%AF-%D8%A7%D9%84%D8%A8%D8%B4%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9-%D8%AA%D8%B7%D9%84%D9%82-%D8%B9%D8%AF%D8%AF%D8%A7-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%AC%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D8%AD%D9%84%D9%88%D9%84-%D8%A7%D9%84%D8%B1%D9%82%D9%85%D9%8A%D8%A9-%D8%AE%D9%84%D8%A7%D9%84-%D9%84%D9%8A%D8%A8-2026,https://www.saudiarabiapr.com/local-news/193740-human-resources-ministry-participates-in-leap-2026,96
